Data publisher,Dataset,Scientific name,Rank,Author,Specific epithet,Kingdom,Phylum,Class,Order,Family,Genus,Species,GBIF ID,Accepted,Taxonomy tree url,Taxon page url
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Allomycter,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Allomycter,,11418904,N,http://data.gbif.org/species/browse/taxon/11418904,http://data.gbif.org/species/11418904
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Aprion,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Aprion,,11415672,N,http://data.gbif.org/species/browse/taxon/11415672,http://data.gbif.org/species/11415672
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Aprionodon,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Aprionodon,,11415101,N,http://data.gbif.org/species/browse/taxon/11415101,http://data.gbif.org/species/11415101
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Apristurus,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Apristurus,,11334165,Y,http://data.gbif.org/species/browse/taxon/11334165,http://data.gbif.org/species/11334165
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Asymbolis,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Asymbolis,,11418242,N,http://data.gbif.org/species/browse/taxon/11418242,http://data.gbif.org/species/11418242
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Asymbolus,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Asymbolus,,11363153,Y,http://data.gbif.org/species/browse/taxon/11363153,http://data.gbif.org/species/11363153
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Ateleomycterus,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Ateleomycterus,,11451468,N,http://data.gbif.org/species/browse/taxon/11451468,http://data.gbif.org/species/11451468
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Atelomycterus,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Atelomycterus,,11416993,Y,http://data.gbif.org/species/browse/taxon/11416993,http://data.gbif.org/species/11416993
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Aulohalaelurus,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Aulohalaelurus,,11416052,Y,http://data.gbif.org/species/browse/taxon/11416052,http://data.gbif.org/species/11416052
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Bythaelurus,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Bythaelurus,,11333652,N,http://data.gbif.org/species/browse/taxon/11333652,http://data.gbif.org/species/11333652
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Calliscyllium,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Proscylliidae,Calliscyllium,,11415917,N,http://data.gbif.org/species/browse/taxon/11415917,http://data.gbif.org/species/11415917
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Carcharhinidae,family,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,,,11317704,Y,http://data.gbif.org/species/browse/taxon/11317704,http://data.gbif.org/species/11317704
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Carcharhiniformes,order,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,,,,11314728,Y,http://data.gbif.org/species/browse/taxon/11314728,http://data.gbif.org/species/11314728
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Carcharhinus,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,,11361335,Y,http://data.gbif.org/species/browse/taxon/11361335,http://data.gbif.org/species/11361335
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Carcharhinus,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Carcharhinus,,11417919,N,http://data.gbif.org/species/browse/taxon/11417919,http://data.gbif.org/species/11417919
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Carcharias,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharias,,11413366,N,http://data.gbif.org/species/browse/taxon/11413366,http://data.gbif.org/species/11413366
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Carcharias,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Hemigaleidae,Carcharias,,11414582,N,http://data.gbif.org/species/browse/taxon/11414582,http://data.gbif.org/species/11414582
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Carcharins,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharins,,11415689,N,http://data.gbif.org/species/browse/taxon/11415689,http://data.gbif.org/species/11415689
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Carcharinus,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharinus,,11415688,N,http://data.gbif.org/species/browse/taxon/11415688,http://data.gbif.org/species/11415688
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Carharhinus,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carharhinus,,11419327,N,http://data.gbif.org/species/browse/taxon/11419327,http://data.gbif.org/species/11419327
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Catulus,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Catulus,,11332784,N,http://data.gbif.org/species/browse/taxon/11332784,http://data.gbif.org/species/11332784
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Cephaloscyllium,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Cephaloscyllium,,11413310,Y,http://data.gbif.org/species/browse/taxon/11413310,http://data.gbif.org/species/11413310
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Cephalurus,genus,,,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Cephalurus,,11418635,Y,http://data.gbif.org/species/browse/taxon/11418635,http://data.gbif.org/species/11418635
