Data publisher,Dataset,Scientific name,Rank,Author,Specific epithet,Kingdom,Phylum,Class,Order,Family,Genus,Species,GBIF ID,Accepted,Taxonomy tree url,Taxon page url
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Aaptosyax,genus,,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Aaptosyax,,11446296,Y,http://data.gbif.org/species/browse/taxon/11446296,http://data.gbif.org/species/11446296
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Abalistes,genus,,,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Abalistes,,11414811,Y,http://data.gbif.org/species/browse/taxon/11414811,http://data.gbif.org/species/11414811
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Abantennarius,genus,,,Animalia,Chordata,Actinopterygii,Lophiiformes,Antennariidae,Abantennarius,,11414041,N,http://data.gbif.org/species/browse/taxon/11414041,http://data.gbif.org/species/11414041
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Abbottina,genus,,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Abbottina,,11412911,Y,http://data.gbif.org/species/browse/taxon/11412911,http://data.gbif.org/species/11412911
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Abcichthys,genus,,,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Tetrarogidae,Abcichthys,,11415035,N,http://data.gbif.org/species/browse/taxon/11415035,http://data.gbif.org/species/11415035
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Abeona,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Abeona,,11419270,N,http://data.gbif.org/species/browse/taxon/11419270,http://data.gbif.org/species/11419270
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Ablabys,genus,,,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Tetrarogidae,Ablabys,,11413462,Y,http://data.gbif.org/species/browse/taxon/11413462,http://data.gbif.org/species/11413462
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Ablenes,genus,,,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,Ablenes,,11418376,N,http://data.gbif.org/species/browse/taxon/11418376,http://data.gbif.org/species/11418376
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Ablennes,genus,,,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,Ablennes,,11416043,Y,http://data.gbif.org/species/browse/taxon/11416043,http://data.gbif.org/species/11416043
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Aboma,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Aboma,,11414567,N,http://data.gbif.org/species/browse/taxon/11414567,http://data.gbif.org/species/11414567
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Aborichthys,genus,,,Animalia,Chordata,Actinopterygii,Cypriniformes,Balitoridae,Aborichthys,,11414812,Y,http://data.gbif.org/species/browse/taxon/11414812,http://data.gbif.org/species/11414812
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Abramis,genus,,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Abramis,,11333129,Y,http://data.gbif.org/species/browse/taxon/11333129,http://data.gbif.org/species/11333129
