Scientific name	Epithet	Kingdom	Phylum	Class	Order	Family	Genus	Species
Parmaturus campechiensis	campechiensis	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Scyliorhinidae	Parmaturus	Parmaturus campechiensis
Apristurus laurussonii	laurussonii	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Scyliorhinidae	Apristurus	Apristurus laurussonii
Apristurus parvipinnis	parvipinnis	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Scyliorhinidae	Apristurus	Apristurus parvipinnis
Apristurus riveri	riveri	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Scyliorhinidae	Apristurus	Apristurus riveri
Rajella fuliginea	fuliginea	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Rajella	Rajella fuliginea
Etmopterus virens	virens	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Etmopterus	Etmopterus virens
Carcharhinus falciformis	falciformis	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus falciformis
Carcharhinus longimanus	longimanus	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus longimanus
Carcharhinus obscurus	obscurus	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus obscurus
Galeocerdo cuvier	cuvier	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Galeocerdo	Galeocerdo cuvier
Dipturus olseni	olseni	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Dipturus	Dipturus olseni
Sphyrna lewini	lewini	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Sphyrnidae	Sphyrna	Sphyrna lewini
Carcharhinus								
Cestracion		Animalia	Chordata	Elasmobranchii	Heterodontiformes	Heterodontidae	Cestracion	
Carcharodon megalodon	megalodon	Animalia	Chordata	Elasmobranchii	Lamniformes	Lamnidae	Carcharodon	Carcharodon megalodon
Urobatis vermiculatus	vermiculatus	Animalia	Chordata	Elasmobranchii	Rajiformes	Urolophidae	Urobatis	Urobatis vermiculatus
Galeocerdo								
Hemipristis serra	serra	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Hemigaleidae	Hemipristis	Hemipristis serra
Isurus hastalis	hastalis	Animalia	Chordata	Elasmobranchii	Lamniformes	Lamnidae	Isurus	Isurus hastalis
Rhinobatos lentiginosus	lentiginosus	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus
Urolophus jamaicensis	jamaicensis	Animalia	Chordata	Elasmobranchii	Rajiformes	Urolophidae	Urobatis	Urobatis jamaicensis
Raja texana	texana	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Raja	Raja texana
Rhincodon typus	typus	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus
Breviraja yucatanensis	yucatanensis	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Leucoraja	Leucoraja yucatanensis
Narcine brasiliensis	brasiliensis	Animalia	Chordata	Elasmobranchii	Torpediniformes	Narcinidae	Narcine	Narcine brasiliensis
Raja garmani	garmani	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Leucoraja	Leucoraja garmani
Urobatis jamaicensis	jamaicensis	Animalia	Chordata	Elasmobranchii	Rajiformes	Urolophidae	Urobatis	Urobatis jamaicensis
Pristis perotteti	perotteti	Animalia	Chordata	Elasmobranchii	Pristiformes	Pristidae	Pristis	Pristis perotteti
Odontaspis ferox	ferox	Animalia	Chordata	Elasmobranchii	Lamniformes	Odontaspididae	Odontaspis	Odontaspis ferox
Scyliorhinus meadi	meadi	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Scyliorhinidae	Scyliorhinus	Scyliorhinus meadi
Squalus cubensis	cubensis	Animalia	Chordata	Elasmobranchii	Squaliformes	Squalidae	Squalus	Squalus cubensis
Ginglymostoma cirratum	cirratum	Animalia	Chordata	Elasmobranchii	Orectolobiformes	Ginglymostomatidae	Ginglymostoma	Ginglymostoma cirratum
Breviraja spinosa	spinosa	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Breviraja	Breviraja spinosa
Dalatias licha	licha	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Dalatias	Dalatias licha
Galeus arae	arae	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Scyliorhinidae	Galeus	Galeus arae
Scymnodon squamulosus	squamulosus	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Scymnodon	Scymnodon squamulosus
Anacanthobatis folirostris	folirostris	Animalia	Chordata	Elasmobranchii	Rajiformes	Anacanthobatidae	Anacanthobatis	Anacanthobatis folirostris
Gurgesiella sinusmexicanus	sinusmexicanus	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Fenestraja	Fenestraja sinusmexicanus
Oxynotus caribbaeus	caribbaeus	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Oxynotus	Oxynotus caribbaeus
Raja teevani	teevani	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Dipturus	Dipturus teevani
Torpedo nobiliana	nobiliana	Animalia	Chordata	Elasmobranchii	Torpediniformes	Torpedinidae	Torpedo	Torpedo nobiliana
Raja lentiginosa	lentiginosa	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Leucoraja	Leucoraja lentiginosa
Alopias superciliosus	superciliosus	Animalia	Chordata	Elasmobranchii	Lamniformes	Alopiidae	Alopias	Alopias superciliosus
Leucoraja lentiginosa	lentiginosa	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Leucoraja	Leucoraja lentiginosa
Pseudoraja fischeri	fischeri	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Pseudoraja	Pseudoraja fischeri
Dasyatis sabina	sabina	Animalia	Chordata	Elasmobranchii	Rajiformes	Dasyatidae	Dasyatis	Dasyatis sabina
Rhizoprionodon porosus	porosus	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Rhizoprionodon	Rhizoprionodon porosus
Raja ackleyi	ackleyi	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Raja	Raja ackleyi
Dactylobatus clarkii	clarkii	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Dactylobatus	Dactylobatus clarkii
Etmopterus schultzi	schultzi	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Etmopterus	Etmopterus schultzi
Fenestraja sinusmexicanus	sinusmexicanus	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Fenestraja	Fenestraja sinusmexicanus
Isistius brasiliensis	brasiliensis	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Isistius	Isistius brasiliensis
Cruriraja atlantis	atlantis	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Cruriraja	Cruriraja atlantis
Benthobatis marcida	marcida	Animalia	Chordata	Elasmobranchii	Torpediniformes	Narcinidae	Benthobatis	Benthobatis marcida
Hexanchus nakamurai	nakamurai	Animalia	Chordata	Elasmobranchii	Hexanchiformes	Hexanchidae	Hexanchus	Hexanchus nakamurai
Rajidae								
Scyliorhinus								
Leucoraja garmani	garmani	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Leucoraja	Leucoraja garmani
