Scientific name	Epithet	Kingdom	Phylum	Class	Order	Family	Genus	Species
Maxillopoda								
Amphipoda								
Isopoda								
Tanaidacea								
Diogenidae								
Crangonidae								
Callianassidae								
Grapsidae								
Majidae								
Palaemonidae								
Penaeidae								
Portunidae								
Processidae								
Xanthidae								
Anthuridae								
Echinocythereis								
Apseudes								
Sergestes								
Heterotanais								
Apanthura								
Alpheus								
Procambarus								
Raninoides								
Clibanarius								
Uca								
Kalliapseudes								
Balanus								
Hydrolagus								
Automate								
Aratus								
Astropecten								
Mastigoteuthis								
Neorossia								
Cheiraster								
Propeamussium								
Myriochele								
Eucopia								
Nitzschia sigma	sigma	Plantae	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	Nitzschia sigma
Rhizosolenia setigera	setigera	Chromista	Ochrophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	Rhizosolenia	Rhizosolenia setigera
Cylindrotheca closterium	closterium	Plantae	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Cylindrotheca	Cylindrotheca closterium
Nitzschia ovalis	ovalis	Plantae	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	Nitzschia ovalis
Tryblionella marginulata	marginulata	Plantae	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Tryblionella	Tryblionella marginulata
Bacteriastrum delicatulum	delicatulum	Chromista	Ochrophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Bacteriastrum	Bacteriastrum delicatulum
Bacteriastrum elongatum	elongatum	Chromista	Ochrophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Bacteriastrum	Bacteriastrum elongatum
Cerataulina pelagica	pelagica	Chromista	Ochrophyta	Coscinodiscophyceae	Hemiaulales	Hemiaulaceae	Cerataulina	Cerataulina pelagica
Chaetoceros danicus	danicus	Chromista	Ochrophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros danicus
Chaetoceros decipiens	decipiens	Chromista	Ochrophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros decipiens
Chaetoceros peruvianus	peruvianus	Chromista	Ochrophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros peruvianus
Delphineis surirella	surirella	Plantae	Bacillariophyta	Bacillariophyceae	Rhaponeidales	Rhaphoneidaceae	Delphineis	Delphineis surirella
Guinardia flaccida	flaccida	Chromista	Ochrophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	Guinardia	Guinardia flaccida
Hemiaulus hauckii	hauckii	Chromista	Ochrophyta	Coscinodiscophyceae	Hemiaulales	Hemiaulaceae	Hemiaulus	Hemiaulus hauckii
Leptocylindrus danicus	danicus	Chromista	Ochrophyta	Coscinodiscophyceae	Chaetocerotales	Leptocylindraceae	Leptocylindrus	Leptocylindrus danicus
Pseudo-nitzschia pseudodelicatissima	pseudodelicatissima	Plantae	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	Pseudo-nitzschia pseudodelicatissima
Pseudo-nitzschia pungens	pungens	Plantae	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	Pseudo-nitzschia pungens
Rhizosolenia imbricata	imbricata	Chromista	Ochrophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	Rhizosolenia	Rhizosolenia imbricata
Thalassionema bacillare	bacillare	Plantae	Bacillariophyta	Bacillariophyceae	Thalassionematales	Thalassionemataceae	Thalassionema	Thalassionema bacillare
Pseudosolenia calcar-avis	calcar-avis	Chromista	Ochrophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	Pseudosolenia	Pseudosolenia calcar-avis
Pseudo-nitzschia subfraudulenta	subfraudulenta	Plantae	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	Pseudo-nitzschia subfraudulenta
Prorocentrum micans	micans	Protozoa	Dinophyta	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum micans
Amphisolenia globifera	globifera	Protozoa	Dinophyta	Dinophyceae	Dinophysiales	Amphisoleniaceae	Amphisolenia	Amphisolenia globifera
Ceratium arietinum	arietinum	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Ceratiaceae	Ceratium	Ceratium arietinum
Ceratium azoricum	azoricum	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Ceratiaceae	Ceratium	Ceratium azoricum
Ceratium breve	breve	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Ceratiaceae	Ceratium	Ceratium breve
Ceratium contrarium	contrarium	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Ceratiaceae	Ceratium	Ceratium contrarium
Ceratium euarcuatum	euarcuatum	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Ceratiaceae	Ceratium	Ceratium euarcuatum
Ceratium extensum	extensum	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Ceratiaceae	Ceratium	Ceratium extensum
Ceratium furca	furca	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Ceratiaceae	Ceratium	Ceratium furca
Ceratium hexacanthum	hexacanthum	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Ceratiaceae	Ceratium	Ceratium hexacanthum
Ceratium kofoidii	kofoidii	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Ceratiaceae	Ceratium	Ceratium kofoidii
Ceratium longirostrum	longirostrum	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Ceratiaceae	Ceratium	Ceratium longirostrum
Ceratium pentagonum	pentagonum	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Ceratiaceae	Ceratium	Ceratium pentagonum
Ceratium setaceum	setaceum	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Ceratiaceae	Ceratium	Ceratium setaceum
Ceratium teres	teres	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Ceratiaceae	Ceratium	Ceratium teres
Ceratium trichoceros	trichoceros	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Ceratiaceae	Ceratium	Ceratium trichoceros
Ceratium vultur	vultur	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Ceratiaceae	Ceratium	Ceratium vultur
Ceratocorys armata	armata	Protozoa	Dinophyta	Dinophyceae	Gonyaulacales	Ceratocoryaceae	Ceratocorys	Ceratocorys armata
Ceratocorys horrida	horrida	Protozoa	Dinophyta	Dinophyceae	Gonyaulacales	Ceratocoryaceae	Ceratocorys	Ceratocorys horrida
Cladopyxis brachiolata	brachiolata	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Cladopyxidaceae	Cladopyxis	Cladopyxis brachiolata
